ax,ay,az,gx,gy,gz,thr,as,vz,alt,roll,pitch,label
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6180,0.0000,0.0150,0.0758,0.0637,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6632,0.0000,0.0200,0.0757,0.0633,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.9416,0.0000,0.0240,0.0757,0.0630,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7247,0.0000,0.0290,0.0759,0.0631,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8612,0.0000,0.0420,0.0759,0.0635,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.9973,0.0000,0.0560,0.0760,0.0636,0
0.0000,0.0000,-9.8100,0.0010,0.0010,0.0010,0.0000,0.6961,0.0000,0.0670,0.0759,0.0634,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.7354,0.0000,0.0770,0.0757,0.0634,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8661,0.0000,0.0820,0.0755,0.0633,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3442,0.0000,0.0860,0.0753,0.0636,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.5604,0.0000,0.0960,0.0751,0.0637,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4002,0.0000,0.1010,0.0753,0.0642,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4120,0.0000,0.1040,0.0756,0.0640,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.6166,0.0000,0.1020,0.0756,0.0643,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.8781,0.0000,0.0990,0.0757,0.0646,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.9945,0.0000,0.1030,0.0759,0.0649,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.3853,0.0000,0.1080,0.0760,0.0646,0
0.0000,0.0000,-9.8198,0.0010,0.0010,0.0010,0.0000,0.4080,0.0000,0.1110,0.0758,0.0647,0
